Case_ID,Theft_Date,Report_Date,Car_Brand,Car_Model,Year_of_Manufacture,Car_Type,Fuel_Type,Color,Registered_State,Registered_City,Location_of_Theft,Time_of_Theft,Police_Station,Is_Recovered,Recovery_Date,Suspect_Identified,Number_of_Prev_Thefts,GPS_Installed,CCTV_Availability,Insurance_Status,Owner_Age_Group
2775,2023-10-05,2023-10-06,Maruti,Swift,2011,Hatchback,Electric,Gray,Karnataka,Hubli,Area-46,Night,PS-8,No,,No,0,Yes,No,Expired,41-60
2776,2023-01-18,2023-01-25,Ford,Figo,2012,Sedan,Petrol,Green,Delhi,West Delhi,Area-46,Morning,PS-15,No,,No,0,No,Yes,Valid,41-60
2777,2023-12-14,2023-12-18,Renault,Triber,2011,Sedan,CNG,Gray,Karnataka,Mysore,Area-8,Evening,PS-26,No,,Yes,0,No,Yes,Valid,60+
2778,2023-02-22,2023-03-01,Tata,Altroz,2021,Pickup,Diesel,White,Uttar Pradesh,Lucknow,Area-46,Afternoon,PS-69,Yes,2023-03-29,No,0,No,Yes,Valid,26-40
2779,2023-03-23,2023-03-27,Hyundai,i20,2012,Hatchback,CNG,Red,Maharashtra,Mumbai,Area-43,Evening,PS-39,No,,No,0,Yes,Yes,No Insurance,18-25
2780,2023-10-08,2023-10-10,Toyota,Fortuner,2008,MUV,Electric,Green,Rajasthan,Udaipur,Area-7,Afternoon,PS-58,No,,No,1,No,Yes,No Insurance,41-60
2781,2023-09-08,2023-09-11,Kia,Sonet,2008,Sedan,Petrol,Silver,Uttar Pradesh,Kanpur,Area-14,Morning,PS-78,No,,Yes,0,No,No,No Insurance,41-60
2782,2023-07-27,2023-08-03,Toyota,Fortuner,2023,Hatchback,Electric,Red,Rajasthan,Jodhpur,Area-25,Morning,PS-45,Yes,2023-08-19,No,1,No,Yes,No Insurance,41-60
2783,2023-05-03,2023-05-09,Ford,Figo,2022,MUV,Electric,White,Madhya Pradesh,Gwalior,Area-12,Afternoon,PS-28,No,,Yes,0,No,Yes,No Insurance,41-60
2784,2023-12-22,2023-12-26,Nissan,Kicks,2016,SUV,Petrol,Yellow,Karnataka,Bangalore,Area-28,Afternoon,PS-42,No,,No,2,Yes,Yes,Valid,18-25
2785,2023-01-19,2023-01-22,Honda,Jazz,2013,SUV,Diesel,Green,Maharashtra,Nagpur,Area-43,Afternoon,PS-56,No,,No,1,No,No,Valid,60+
2786,2023-09-28,2023-10-04,Maruti,Ertiga,2014,Convertible,Diesel,Green,Tamil Nadu,Coimbatore,Area-34,Evening,PS-46,Yes,2023-10-08,No,0,No,Yes,Valid,18-25
2787,2023-09-19,2023-09-24,Nissan,Kicks,2019,Pickup,CNG,Gray,Maharashtra,Nagpur,Area-43,Night,PS-92,No,,No,0,No,Yes,No Insurance,60+
2788,2023-03-24,2023-03-27,Ford,Aspire,2023,Convertible,Electric,Black,Rajasthan,Jaipur,Area-16,Afternoon,PS-63,No,,No,1,No,Yes,No Insurance,26-40
2789,2023-01-30,2023-02-02,Mahindra,Thar,2013,Convertible,Electric,Gray,Karnataka,Bangalore,Area-41,Morning,PS-36,No,,Yes,0,Yes,Yes,Expired,26-40
2790,2023-05-03,2023-05-03,Maruti,Swift,2009,Sedan,Diesel,Blue,Madhya Pradesh,Indore,Area-45,Evening,PS-93,Yes,2023-05-29,Yes,0,Yes,Yes,Valid,18-25
2791,2023-05-04,2023-05-11,Hyundai,i20,2007,Convertible,Electric,Yellow,Rajasthan,Udaipur,Area-40,Night,PS-61,No,,No,0,No,Yes,Expired,60+
2792,2023-07-28,2023-07-28,Maruti,WagonR,2013,Hatchback,Electric,Blue,Tamil Nadu,Madurai,Area-37,Night,PS-24,No,,No,2,Yes,Yes,Valid,60+
2793,2023-09-08,2023-09-09,Kia,Sonet,2014,SUV,Diesel,Silver,Karnataka,Bangalore,Area-30,Afternoon,PS-77,No,,No,2,No,No,Expired,41-60
2794,2023-09-09,2023-09-14,Toyota,Innova,2010,Sedan,Electric,Blue,Delhi,South Delhi,Area-47,Afternoon,PS-92,No,,No,1,Yes,Yes,Expired,60+
2795,2023-01-26,2023-01-31,Renault,Duster,2016,MUV,Diesel,Black,Rajasthan,Jaipur,Area-13,Night,PS-38,No,,No,2,Yes,Yes,Expired,60+
2796,2023-06-11,2023-06-13,Maruti,Ertiga,2023,Convertible,CNG,Silver,Tamil Nadu,Madurai,Area-38,Evening,PS-35,No,,No,1,No,No,Valid,18-25
2797,2023-09-19,2023-09-23,Hyundai,Creta,2018,Convertible,Diesel,Silver,Gujarat,Ahmedabad,Area-48,Night,PS-74,Yes,2023-10-04,No,1,Yes,Yes,No Insurance,18-25
2798,2023-05-19,2023-05-23,Tata,Altroz,2018,Hatchback,Electric,Yellow,Punjab,Jalandhar,Area-27,Evening,PS-60,No,,No,1,Yes,Yes,Expired,26-40
2799,2023-01-10,2023-01-11,Mahindra,Thar,2019,Sedan,Diesel,Silver,West Bengal,Howrah,Area-1,Morning,PS-86,No,,No,0,Yes,Yes,Expired,60+
2800,2023-07-18,2023-07-21,Tata,Harrier,2021,Pickup,Diesel,Gray,Tamil Nadu,Madurai,Area-46,Morning,PS-17,No,,No,2,No,Yes,No Insurance,18-25
2801,2023-01-24,2023-01-27,Kia,Seltos,2007,Convertible,CNG,Red,Delhi,New Delhi,Area-30,Afternoon,PS-23,Yes,2023-02-01,No,0,No,Yes,Expired,41-60
2802,2023-08-09,2023-08-12,Ford,Figo,2023,Convertible,Electric,Blue,Tamil Nadu,Coimbatore,Area-46,Afternoon,PS-2,No,,No,1,Yes,Yes,Expired,60+
2803,2023-11-08,2023-11-10,Mahindra,Scorpio,2011,Hatchback,Diesel,Yellow,Gujarat,Vadodara,Area-24,Night,PS-82,No,,Yes,1,No,No,Valid,60+
2804,2023-11-22,2023-11-26,Honda,WRV,2015,MUV,Diesel,Yellow,Punjab,Amritsar,Area-40,Evening,PS-67,No,,No,0,No,Yes,Expired,26-40
2805,2023-11-28,2023-12-02,Toyota,Fortuner,2007,MUV,CNG,Yellow,Tamil Nadu,Coimbatore,Area-25,Morning,PS-38,No,,No,1,Yes,Yes,No Insurance,60+
2806,2023-03-19,2023-03-19,Renault,Triber,2014,MUV,Electric,White,Karnataka,Hubli,Area-38,Afternoon,PS-84,No,,No,1,Yes,Yes,No Insurance,60+
2807,2023-05-08,2023-05-09,Hyundai,Venue,2019,SUV,Diesel,Red,Madhya Pradesh,Gwalior,Area-32,Night,PS-7,Yes,2023-05-27,No,1,Yes,Yes,No Insurance,41-60
2808,2023-05-13,2023-05-19,Renault,Duster,2005,Sedan,Diesel,Green,Madhya Pradesh,Gwalior,Area-10,Evening,PS-58,Yes,2023-06-14,Yes,1,No,Yes,No Insurance,18-25
2809,2023-01-09,2023-01-14,Maruti,Swift,2011,Convertible,Electric,White,Tamil Nadu,Chennai,Area-19,Evening,PS-21,No,,No,2,Yes,Yes,Expired,60+
2810,2023-07-05,2023-07-12,Nissan,Kicks,2014,Pickup,Electric,Red,Gujarat,Vadodara,Area-14,Evening,PS-21,No,,Yes,2,No,Yes,Valid,26-40
2811,2023-09-07,2023-09-07,Mahindra,XUV500,2021,Convertible,Diesel,Yellow,Maharashtra,Nagpur,Area-14,Night,PS-69,Yes,2023-09-08,No,1,No,Yes,Expired,41-60
2812,2023-12-06,2023-12-12,Toyota,Fortuner,2008,SUV,Electric,Red,Delhi,South Delhi,Area-16,Morning,PS-40,No,,No,2,No,Yes,No Insurance,60+
2813,2023-03-05,2023-03-08,Kia,Carens,2018,Hatchback,CNG,Green,Tamil Nadu,Coimbatore,Area-15,Morning,PS-81,No,,No,0,Yes,Yes,Valid,41-60
2814,2023-05-11,2023-05-17,Kia,Seltos,2013,Sedan,Petrol,Blue,Uttar Pradesh,Kanpur,Area-22,Morning,PS-84,Yes,2023-05-25,No,1,No,No,No Insurance,41-60
2815,2023-09-01,2023-09-06,Honda,WRV,2012,Convertible,Electric,White,West Bengal,Kolkata,Area-37,Afternoon,PS-13,No,,No,0,No,No,Expired,18-25
2816,2023-07-21,2023-07-23,Ford,Aspire,2012,Sedan,Petrol,Red,Karnataka,Bangalore,Area-34,Morning,PS-6,No,,No,1,No,Yes,Valid,26-40
2817,2023-08-07,2023-08-07,Hyundai,i20,2018,MUV,Petrol,Black,Karnataka,Mysore,Area-15,Morning,PS-12,No,,No,1,No,Yes,Expired,41-60
2818,2023-01-10,2023-01-16,Honda,City,2017,Convertible,CNG,Black,Uttar Pradesh,Lucknow,Area-7,Morning,PS-99,Yes,2023-01-21,Yes,0,No,Yes,No Insurance,26-40
2819,2023-07-10,2023-07-14,Toyota,Innova,2012,Convertible,Electric,Yellow,Punjab,Amritsar,Area-39,Morning,PS-75,Yes,2023-07-17,No,0,No,Yes,Valid,18-25
2820,2023-12-02,2023-12-02,Nissan,Magnite,2013,Hatchback,CNG,White,Rajasthan,Udaipur,Area-35,Evening,PS-31,No,,No,1,No,No,Valid,41-60
2821,2023-03-09,2023-03-16,Hyundai,Verna,2012,Pickup,Electric,Red,Uttar Pradesh,Kanpur,Area-26,Night,PS-29,No,,No,0,No,Yes,Expired,41-60
2822,2023-10-23,2023-10-29,Tata,Altroz,2019,Hatchback,CNG,Silver,Punjab,Amritsar,Area-26,Afternoon,PS-58,Yes,2023-11-23,No,2,No,Yes,Valid,18-25
2823,2023-12-21,2023-12-26,Tata,Altroz,2009,SUV,Petrol,Yellow,West Bengal,Kolkata,Area-13,Morning,PS-18,No,,No,1,No,Yes,Expired,41-60
2824,2023-12-22,2023-12-26,Ford,Figo,2018,SUV,CNG,Red,Tamil Nadu,Coimbatore,Area-43,Morning,PS-6,No,,No,0,Yes,No,No Insurance,41-60
2825,2023-04-01,2023-04-06,Honda,City,2007,Pickup,Electric,Silver,Gujarat,Vadodara,Area-41,Evening,PS-13,No,,No,1,No,Yes,Valid,41-60
2826,2023-05-01,2023-05-05,Hyundai,i20,2023,SUV,Diesel,Silver,West Bengal,Kolkata,Area-19,Afternoon,PS-95,Yes,2023-05-14,Yes,0,Yes,Yes,Expired,41-60
2827,2023-10-26,2023-10-27,Hyundai,Verna,2014,Sedan,Diesel,Black,Delhi,New Delhi,Area-3,Morning,PS-53,No,,No,1,No,No,Valid,26-40
2828,2023-11-06,2023-11-08,Renault,Duster,2015,SUV,Diesel,Blue,Punjab,Amritsar,Area-30,Night,PS-2,No,,Yes,2,No,No,Expired,60+
2829,2023-11-30,2023-12-04,Maruti,WagonR,2012,Pickup,Electric,Green,Madhya Pradesh,Indore,Area-35,Afternoon,PS-80,No,,Yes,0,No,Yes,Valid,60+
2830,2023-02-12,2023-02-17,Maruti,Baleno,2012,MUV,Diesel,Gray,Delhi,West Delhi,Area-5,Night,PS-85,Yes,2023-02-23,Yes,0,No,No,No Insurance,60+
2831,2023-07-04,2023-07-04,Ford,Ecosport,2017,SUV,CNG,Red,Madhya Pradesh,Bhopal,Area-5,Evening,PS-97,No,,No,2,Yes,No,Valid,41-60
2832,2023-11-26,2023-11-29,Ford,Figo,2014,MUV,Petrol,White,West Bengal,Howrah,Area-9,Night,PS-41,Yes,2023-12-29,No,0,No,No,Valid,41-60
2833,2023-07-27,2023-08-03,Toyota,Glanza,2007,Sedan,Diesel,White,Karnataka,Hubli,Area-40,Evening,PS-18,Yes,2023-08-21,No,0,Yes,No,No Insurance,18-25
2834,2023-11-18,2023-11-24,Mahindra,XUV500,2016,MUV,Petrol,Green,West Bengal,Durgapur,Area-34,Evening,PS-100,No,,No,1,Yes,Yes,Valid,26-40
2835,2023-03-27,2023-03-28,Maruti,WagonR,2011,Sedan,Electric,Gray,Gujarat,Ahmedabad,Area-11,Night,PS-25,No,,No,0,Yes,No,No Insurance,18-25
2836,2023-12-27,2023-12-30,Honda,WRV,2013,MUV,Petrol,Green,Karnataka,Bangalore,Area-33,Afternoon,PS-8,No,,Yes,2,No,No,No Insurance,41-60
2837,2023-12-24,2023-12-29,Ford,Ecosport,2017,Convertible,Diesel,Blue,Tamil Nadu,Madurai,Area-43,Afternoon,PS-56,No,,No,0,No,No,Expired,60+
2838,2023-07-16,2023-07-16,Nissan,Kicks,2018,MUV,Electric,Gray,Madhya Pradesh,Indore,Area-44,Evening,PS-51,No,,No,2,Yes,Yes,No Insurance,60+
2839,2023-12-29,2023-12-29,Nissan,Sunny,2021,Sedan,Electric,Red,Delhi,New Delhi,Area-46,Morning,PS-84,Yes,2023-12-29,No,0,No,No,No Insurance,41-60
2840,2023-12-23,2023-12-23,Renault,Kwid,2008,MUV,Electric,Blue,Rajasthan,Jaipur,Area-36,Morning,PS-98,No,,No,2,No,No,No Insurance,18-25
2841,2023-03-10,2023-03-10,Nissan,Magnite,2005,Hatchback,Electric,Black,Uttar Pradesh,Noida,Area-32,Night,PS-3,No,,No,1,Yes,Yes,Valid,18-25
2842,2023-06-05,2023-06-08,Tata,Nexon,2005,Convertible,Diesel,White,Punjab,Jalandhar,Area-24,Afternoon,PS-74,No,,No,2,Yes,No,No Insurance,41-60
2843,2023-05-14,2023-05-21,Nissan,Magnite,2013,Sedan,Electric,Yellow,Karnataka,Bangalore,Area-41,Night,PS-39,No,,No,1,Yes,No,Expired,18-25
2844,2023-01-11,2023-01-17,Kia,Seltos,2022,Hatchback,Diesel,Green,West Bengal,Durgapur,Area-1,Night,PS-81,Yes,2023-01-17,No,1,No,No,No Insurance,26-40
2845,2023-10-04,2023-10-10,Mahindra,Scorpio,2009,SUV,Petrol,White,Gujarat,Vadodara,Area-10,Night,PS-64,No,,No,0,Yes,No,Expired,60+
2846,2023-05-13,2023-05-15,Hyundai,Creta,2015,Sedan,Diesel,Red,Rajasthan,Udaipur,Area-4,Afternoon,PS-38,Yes,2023-05-27,Yes,1,No,No,Valid,18-25
2847,2023-10-25,2023-10-28,Ford,Aspire,2021,SUV,Electric,Yellow,Rajasthan,Jodhpur,Area-32,Evening,PS-27,No,,No,0,No,Yes,Expired,60+
2848,2023-04-30,2023-05-01,Kia,Seltos,2005,Convertible,Petrol,Yellow,Gujarat,Ahmedabad,Area-38,Afternoon,PS-74,No,,No,1,Yes,Yes,No Insurance,26-40
2849,2023-05-09,2023-05-11,Tata,Nexon,2013,Hatchback,Electric,Gray,Gujarat,Surat,Area-20,Evening,PS-64,Yes,2023-05-14,Yes,0,Yes,No,Valid,60+
2850,2023-04-24,2023-04-30,Maruti,Baleno,2011,Pickup,Petrol,Yellow,Tamil Nadu,Coimbatore,Area-49,Morning,PS-81,No,,No,2,Yes,No,Expired,26-40
2851,2023-04-10,2023-04-13,Maruti,Baleno,2006,Sedan,Electric,Gray,West Bengal,Howrah,Area-49,Night,PS-54,No,,No,0,Yes,Yes,Valid,18-25
2852,2023-01-01,2023-01-03,Kia,Carens,2022,MUV,Diesel,Yellow,Maharashtra,Pune,Area-24,Afternoon,PS-67,No,,Yes,2,No,No,Expired,18-25
2853,2023-11-02,2023-11-03,Maruti,Swift,2010,Sedan,Electric,Yellow,Gujarat,Vadodara,Area-11,Afternoon,PS-74,No,,Yes,1,No,No,Expired,60+
2854,2023-08-24,2023-08-28,Nissan,Magnite,2018,Sedan,Electric,Blue,Madhya Pradesh,Bhopal,Area-45,Evening,PS-19,No,,No,2,No,No,Expired,60+
2855,2023-07-16,2023-07-20,Nissan,Sunny,2021,Pickup,Diesel,Gray,Uttar Pradesh,Lucknow,Area-48,Morning,PS-36,No,,No,0,No,No,Expired,26-40
2856,2023-06-19,2023-06-19,Nissan,Kicks,2019,MUV,Electric,White,Uttar Pradesh,Noida,Area-42,Night,PS-34,Yes,2023-07-06,No,0,Yes,Yes,Valid,18-25
2857,2023-01-06,2023-01-06,Mahindra,XUV500,2007,SUV,Diesel,Gray,Madhya Pradesh,Indore,Area-19,Morning,PS-27,No,,No,0,No,Yes,Valid,26-40
2858,2023-04-09,2023-04-09,Ford,Aspire,2023,SUV,CNG,Blue,Punjab,Jalandhar,Area-44,Morning,PS-89,No,,No,2,Yes,Yes,No Insurance,18-25
2859,2023-04-18,2023-04-20,Hyundai,Verna,2005,Sedan,Petrol,Green,Rajasthan,Udaipur,Area-33,Morning,PS-74,Yes,2023-05-11,No,2,Yes,No,Valid,60+
2860,2023-10-21,2023-10-27,Hyundai,i20,2006,Sedan,Electric,Green,Delhi,South Delhi,Area-43,Afternoon,PS-100,No,,No,2,Yes,No,Valid,26-40
2861,2023-07-09,2023-07-16,Kia,Seltos,2007,Convertible,Diesel,White,Gujarat,Vadodara,Area-33,Night,PS-12,Yes,2023-08-07,No,2,Yes,No,Expired,18-25
2862,2023-05-04,2023-05-06,Hyundai,Verna,2018,Hatchback,Diesel,Green,Rajasthan,Jodhpur,Area-50,Evening,PS-91,No,,Yes,1,No,No,No Insurance,18-25
2863,2023-02-17,2023-02-17,Kia,Carens,2021,Hatchback,Electric,Red,West Bengal,Howrah,Area-47,Evening,PS-39,No,,No,2,No,Yes,Valid,41-60
2864,2023-04-22,2023-04-29,Ford,Ecosport,2013,Convertible,CNG,Blue,Karnataka,Hubli,Area-1,Night,PS-47,Yes,2023-05-16,No,1,Yes,Yes,No Insurance,41-60
2865,2023-10-09,2023-10-10,Nissan,Sunny,2017,Sedan,Electric,Gray,Punjab,Jalandhar,Area-49,Afternoon,PS-69,Yes,2023-11-06,No,1,No,No,Valid,26-40
2866,2023-12-02,2023-12-06,Nissan,Magnite,2008,SUV,Petrol,Black,Gujarat,Ahmedabad,Area-47,Afternoon,PS-81,No,,No,1,No,No,Valid,18-25
2867,2023-08-24,2023-08-31,Kia,Seltos,2014,Pickup,CNG,White,Gujarat,Vadodara,Area-40,Morning,PS-86,No,,No,0,No,No,Expired,60+
2868,2023-10-05,2023-10-05,Honda,Jazz,2010,Convertible,Electric,Blue,Madhya Pradesh,Indore,Area-22,Afternoon,PS-95,No,,No,2,No,Yes,Valid,18-25
2869,2023-02-11,2023-02-16,Ford,Ecosport,2023,MUV,CNG,Green,Tamil Nadu,Madurai,Area-9,Afternoon,PS-88,Yes,2023-03-15,Yes,2,No,No,No Insurance,18-25
2870,2023-07-19,2023-07-26,Renault,Duster,2019,Convertible,Petrol,Red,Gujarat,Ahmedabad,Area-31,Night,PS-13,No,,No,0,No,Yes,Valid,26-40
2871,2023-05-06,2023-05-06,Hyundai,Creta,2008,MUV,Petrol,Gray,Tamil Nadu,Coimbatore,Area-25,Morning,PS-49,No,,No,1,No,No,Valid,18-25
2872,2023-03-08,2023-03-11,Maruti,WagonR,2013,Hatchback,Diesel,White,West Bengal,Kolkata,Area-38,Evening,PS-9,No,,No,1,Yes,Yes,No Insurance,60+
2873,2023-08-09,2023-08-15,Nissan,Magnite,2007,SUV,Electric,Gray,Rajasthan,Jaipur,Area-43,Evening,PS-38,No,,No,2,Yes,No,Expired,41-60
2874,2023-01-24,2023-01-28,Kia,Seltos,2019,Sedan,Diesel,Blue,Maharashtra,Mumbai,Area-45,Morning,PS-28,No,,No,0,No,No,Expired,41-60
2875,2023-04-23,2023-04-24,Tata,Harrier,2006,Convertible,Diesel,Black,Punjab,Jalandhar,Area-11,Morning,PS-87,No,,No,1,No,Yes,Expired,26-40
2876,2023-12-19,2023-12-19,Hyundai,i20,2005,Hatchback,Petrol,Yellow,Tamil Nadu,Coimbatore,Area-29,Afternoon,PS-28,No,,No,0,No,No,No Insurance,26-40
2877,2023-03-21,2023-03-28,Renault,Duster,2011,MUV,Electric,White,Rajasthan,Jodhpur,Area-47,Afternoon,PS-67,No,,No,0,No,No,Valid,60+
2878,2023-06-12,2023-06-17,Hyundai,Verna,2007,SUV,CNG,Yellow,Uttar Pradesh,Kanpur,Area-23,Morning,PS-26,No,,No,2,No,Yes,Expired,26-40
2879,2023-01-26,2023-01-28,Ford,Aspire,2022,Sedan,Electric,White,Delhi,West Delhi,Area-41,Night,PS-14,Yes,2023-02-12,No,2,No,Yes,Expired,18-25
2880,2023-05-03,2023-05-03,Mahindra,Scorpio,2017,MUV,CNG,White,Delhi,West Delhi,Area-38,Afternoon,PS-14,No,,No,0,Yes,Yes,Expired,41-60
2881,2023-06-18,2023-06-20,Maruti,Swift,2005,Convertible,CNG,Black,Delhi,South Delhi,Area-47,Afternoon,PS-85,No,,No,0,No,Yes,Valid,60+
2882,2023-08-06,2023-08-13,Kia,Sonet,2010,SUV,Diesel,Red,Rajasthan,Jaipur,Area-34,Morning,PS-16,Yes,2023-08-16,Yes,1,Yes,Yes,Expired,18-25
2883,2023-04-26,2023-04-26,Tata,Harrier,2010,MUV,Electric,Blue,Punjab,Amritsar,Area-34,Afternoon,PS-61,No,,No,2,Yes,No,Valid,26-40
2884,2023-07-06,2023-07-11,Ford,Aspire,2016,SUV,Diesel,Red,Madhya Pradesh,Gwalior,Area-34,Afternoon,PS-72,No,,Yes,2,No,Yes,No Insurance,26-40
2885,2023-02-24,2023-02-28,Nissan,Magnite,2014,Sedan,CNG,Gray,Karnataka,Bangalore,Area-20,Night,PS-65,No,,No,1,Yes,No,Expired,60+
2886,2023-06-18,2023-06-25,Nissan,Kicks,2020,SUV,Petrol,Yellow,Gujarat,Ahmedabad,Area-34,Morning,PS-42,No,,No,1,Yes,Yes,No Insurance,26-40
2887,2023-03-30,2023-04-06,Mahindra,Thar,2020,SUV,Diesel,Green,Gujarat,Ahmedabad,Area-13,Morning,PS-41,Yes,2023-04-08,No,2,No,Yes,Expired,60+
2888,2023-08-24,2023-08-31,Hyundai,i20,2015,MUV,Electric,Gray,West Bengal,Durgapur,Area-7,Evening,PS-72,No,,Yes,0,No,Yes,Valid,60+
2889,2023-05-08,2023-05-15,Ford,Ecosport,2011,Pickup,Petrol,Silver,Rajasthan,Udaipur,Area-27,Morning,PS-45,No,,No,1,No,No,Valid,18-25
2890,2023-01-06,2023-01-13,Toyota,Innova,2014,SUV,Diesel,Green,Maharashtra,Nagpur,Area-40,Afternoon,PS-68,Yes,2023-02-04,Yes,2,No,Yes,Expired,41-60
2891,2023-08-13,2023-08-17,Maruti,Swift,2023,Pickup,CNG,Blue,Tamil Nadu,Chennai,Area-35,Evening,PS-59,Yes,2023-09-09,No,0,Yes,Yes,Expired,18-25
2892,2023-02-26,2023-02-28,Tata,Nexon,2017,MUV,Petrol,Silver,Karnataka,Mysore,Area-9,Afternoon,PS-94,No,,No,1,No,Yes,Valid,18-25
2893,2023-03-04,2023-03-09,Nissan,Kicks,2023,SUV,Diesel,Gray,Gujarat,Ahmedabad,Area-37,Morning,PS-1,No,,No,2,Yes,Yes,No Insurance,60+
2894,2023-01-30,2023-02-04,Mahindra,XUV500,2021,Hatchback,Petrol,Gray,Karnataka,Mysore,Area-28,Evening,PS-46,No,,Yes,0,Yes,No,Valid,18-25
2895,2023-05-02,2023-05-02,Honda,Jazz,2019,SUV,Electric,Blue,Gujarat,Vadodara,Area-1,Evening,PS-88,No,,No,0,Yes,No,Expired,60+
2896,2023-07-03,2023-07-10,Hyundai,Verna,2010,Sedan,CNG,Black,Gujarat,Vadodara,Area-50,Night,PS-48,Yes,2023-07-12,No,2,No,No,Valid,18-25
2897,2023-11-24,2023-11-26,Ford,Ecosport,2006,MUV,Petrol,Black,West Bengal,Howrah,Area-44,Night,PS-8,No,,No,1,No,Yes,Expired,41-60
2898,2023-09-12,2023-09-15,Maruti,WagonR,2006,Pickup,CNG,White,Punjab,Ludhiana,Area-27,Morning,PS-90,No,,No,0,Yes,Yes,Valid,60+
2899,2023-05-13,2023-05-16,Maruti,Swift,2009,Hatchback,Diesel,Yellow,Madhya Pradesh,Gwalior,Area-39,Evening,PS-24,No,,No,0,Yes,Yes,No Insurance,60+
2900,2023-02-15,2023-02-22,Ford,Ecosport,2020,Hatchback,Electric,Yellow,Maharashtra,Mumbai,Area-38,Evening,PS-56,Yes,2023-03-03,No,2,No,No,Expired,26-40
2901,2023-10-15,2023-10-22,Honda,Jazz,2017,SUV,Diesel,White,Maharashtra,Pune,Area-47,Evening,PS-7,No,,Yes,2,No,Yes,Expired,60+
2902,2023-03-25,2023-03-26,Kia,Sonet,2017,Convertible,Diesel,Black,Rajasthan,Udaipur,Area-50,Night,PS-16,No,,No,1,No,Yes,Expired,41-60
2903,2023-07-28,2023-07-29,Mahindra,XUV500,2009,Hatchback,Diesel,Gray,West Bengal,Howrah,Area-14,Morning,PS-5,No,,Yes,0,No,No,Valid,60+
2904,2023-08-10,2023-08-11,Honda,Amaze,2007,SUV,Diesel,Blue,Tamil Nadu,Chennai,Area-9,Afternoon,PS-42,Yes,2023-08-11,Yes,0,No,Yes,Valid,26-40
2905,2023-10-27,2023-10-30,Hyundai,Venue,2014,Sedan,Electric,White,Punjab,Ludhiana,Area-46,Afternoon,PS-5,No,,No,2,No,Yes,Expired,18-25
2906,2023-01-03,2023-01-04,Honda,Jazz,2009,Pickup,Diesel,Red,Rajasthan,Udaipur,Area-18,Morning,PS-60,No,,Yes,2,No,Yes,Expired,60+
2907,2023-01-29,2023-02-02,Tata,Harrier,2023,MUV,Diesel,White,Madhya Pradesh,Indore,Area-50,Night,PS-21,No,,Yes,2,No,Yes,Valid,26-40
2908,2023-06-18,2023-06-25,Renault,Kwid,2021,SUV,Diesel,Green,Delhi,South Delhi,Area-15,Night,PS-66,Yes,2023-06-26,No,1,No,No,Valid,18-25
2909,2023-06-08,2023-06-13,Tata,Altroz,2018,SUV,Electric,Yellow,Tamil Nadu,Madurai,Area-38,Afternoon,PS-88,Yes,2023-06-20,No,2,No,Yes,Expired,26-40
2910,2023-01-01,2023-01-04,Renault,Kwid,2012,Sedan,Diesel,Green,Delhi,South Delhi,Area-20,Night,PS-94,No,,No,1,No,Yes,Expired,26-40
2911,2023-02-23,2023-02-27,Mahindra,Scorpio,2008,Pickup,Diesel,Yellow,Maharashtra,Pune,Area-4,Evening,PS-72,No,,No,2,No,No,Valid,60+
2912,2023-01-16,2023-01-22,Hyundai,Verna,2010,Pickup,Diesel,Red,Tamil Nadu,Chennai,Area-16,Morning,PS-88,No,,No,0,No,Yes,No Insurance,26-40
2913,2023-05-02,2023-05-02,Renault,Kwid,2011,Convertible,Diesel,Silver,Uttar Pradesh,Lucknow,Area-42,Evening,PS-97,Yes,2023-05-30,No,2,No,Yes,No Insurance,41-60
2914,2023-08-21,2023-08-23,Toyota,Innova,2016,SUV,Electric,Red,Rajasthan,Jaipur,Area-17,Morning,PS-22,No,,No,2,Yes,No,Valid,60+
2915,2023-03-28,2023-03-29,Honda,Amaze,2020,Convertible,Petrol,Gray,Tamil Nadu,Madurai,Area-27,Evening,PS-93,No,,No,2,No,No,Expired,41-60
2916,2023-04-17,2023-04-21,Nissan,Magnite,2017,SUV,Petrol,Blue,Maharashtra,Mumbai,Area-45,Afternoon,PS-62,No,,No,1,No,No,Valid,60+
2917,2023-07-27,2023-07-30,Mahindra,XUV500,2012,Pickup,Diesel,Green,West Bengal,Howrah,Area-46,Afternoon,PS-88,Yes,2023-08-03,No,2,No,No,Expired,18-25
2918,2023-08-24,2023-08-27,Renault,Kwid,2010,Sedan,Diesel,White,Punjab,Jalandhar,Area-13,Afternoon,PS-91,Yes,2023-09-21,No,2,No,Yes,No Insurance,41-60
2919,2023-01-24,2023-01-31,Hyundai,Verna,2009,SUV,Petrol,Blue,Karnataka,Bangalore,Area-10,Night,PS-30,Yes,2023-02-25,No,0,No,Yes,Expired,26-40
2920,2023-09-23,2023-09-27,Maruti,Swift,2009,Sedan,CNG,Blue,Tamil Nadu,Coimbatore,Area-20,Morning,PS-92,Yes,2023-10-21,No,2,No,Yes,No Insurance,26-40
2921,2023-07-25,2023-08-01,Mahindra,XUV500,2020,Convertible,CNG,Gray,Madhya Pradesh,Bhopal,Area-13,Morning,PS-61,Yes,2023-08-29,No,0,Yes,Yes,No Insurance,26-40
